00_00000 O.Iya            3  7 2 18 2 19 x  x x  x  91  67 2135748333
00_00011 Y.Hiyonira       x  x 1 18 x  x 3 15 3 11  79  76 -2146423736
00_00022 T.Kiu            2  7 3  2 2  5 3  8 x  x  88  14 589360431
00_00033 E.Kireto         x  x 2  8 1 11 3 18 2 15  84  83 1462260044
00_00044 W.Hotsu          2 14 1 14 3  8 x  x 3  3  56  67 -488416284
00_00055 Y.Rokanu         1 19 x  x 2 17 1 15 2 10  38  66 -629202000
00_00066 N.Tosa           1 19 1  4 1 10 3 11 3  9  40  14 1489401225
00_00077 A.Ato            3 20 2 12 3  8 1 13 2  6  53  51 752244035
00_00088 I.Hehu           x  x x  x 1 16 1 14 1 13 100  64 292967409
00_00099 R.Neshioso       x  x 3 12 2  7 x  x 1  7  41  28 1109179442
00_00103 N.Saroo          2 15 x  x 2 10 3 14 1 15  57  42 1917050290
00_00114 I.Iwakuse        3  9 1  9 1 12 2  9 3 11  31  94 -2110024101
00_00125 U.Seunu          3  6 2  9 2 10 1 12 x  x  48  85 1610325561
00_00136 K.Owasa          2 14 2 10 1 17 1  8 3 19  30  97 1173429702
00_00147 M.Tarue          x  x x  x 3 14 x  x 3 14  67  53 -395392107
00_00158 N.Waya           x  x 3 17 3 15 2  8 1  8  46  86 1948964847
00_00169 Y.Roa            1 10 2 10 3  9 3 12 3 12  37  96 -1419203637
00_00170 H.Sukese         x  x 1 18 1 15 x  x 2 11  55  91 -1333528608
00_00181 R.Yakakuki       2 16 3 12 1 18 1 16 2  2  70  72 405976478
00_00192 N.Runawa         1  6 x  x 1 13 3 17 x  x  74  41 584335873
00_00206 A.Ohishina       x  x 1  2 2 16 1 15 x  x  58  67 52638614
00_00217 Y.Iyo            1 13 x  x 1  7 3  4 3  8  84  68 564856559
00_00228 K.Yuruhuyu       3 10 3 10 1  6 1 14 2 19  94  75 -630357284
00_00239 K.Huka           x  x 1 12 3 12 1 16 1 12  41  37 -83610589
00_00240 R.Hesata         1  6 2 19 2 14 1 10 1 10  95  40 947405817
00_00251 R.Sonishi        2 10 2  6 1 16 3 17 x  x  34  96 2050777406
00_00262 O.Suyohoyo       x  x 1 13 2 14 3  9 2 10  95  88 -618071237
00_00273 A.Chihana        3  7 3 18 3 12 3 19 1  9  99  50 -1392290746
00_00284 O.Nekuchi        1 19 1 16 3 13 1  6 x  x  88  63 653338416
00_00295 R.Hosu           3 15 3  7 3 13 2 16 2  7  64  92 -742974211
00_00309 E.Towa           1 19 3  9 1  6 1 10 1 18  61  20 -769666667
00_00310 S.Ire            1 11 x  x 2 10 3  9 x  x  87  37 -269608040
00_00321 M.Hirioha        3  8 3 12 3 17 1 13 3 13  77  87 1557806147
00_00332 U.Hoharaku       3 19 1 18 2 19 x  x 1  8  43  40 193680449
00_00343 S.Onoke          1 13 2 18 1 16 x  x 1 18  46  53 -1522215044
00_00354 U.Nuniriku       2 15 2 19 1 16 x  x 1  0  92  74 1466531127
00_00365 I.Sukokiyo       3 15 3 15 2 18 2 19 3  6  45  78 768623786
00_00376 I.Wahu           2 12 3 16 x  x x  x 1 19  97  55 -707041050
00_00387 M.Koshie         2 17 2 12 3 19 3 15 1 10  61  98 1490205980
00_00398 A.Huyuoo         x  x x  x 2 14 2  3 3 19  60  22 -167521255
00_00402 E.Tsuho          3 16 3 14 x  x x  x 3 17  55  26 -1718761515
00_00413 E.Keshi          1 12 3 14 1 10 x  x 2  8  33  37 -1987988452
00_00424 N.Tewana         2 10 3  6 2 18 x  x 1  7  80  55 -46881923
00_00435 W.Nutsu          3 12 3 10 1  2 3 17 1 16  53  92 2052001160
00_00446 K.Rote           1 11 x  x 1  9 2  6 x  x  71  74 1204982350
00_00457 N.Satsu          3 10 2 10 x  x 2 10 2  6  75  73 1800082273
00_00468 I.Hinini         3  5 x  x 3  8 3  7 2 11  67  96 1403796173
00_00479 A.Nosohohu       1 16 x  x x  x 2 18 2 17  45  52 -1859642661
00_00480 M.Taha           2 19 1  8 1 14 1  5 1 15  75  67 -2075173347
00_00491 N.Tsuhuko        x  x 3 10 3  2 2  5 3 19  90  57 -212964690
00_00505 R.Kaa            x  x 2 14 3 14 2 10 3 16  72  31 -67193372
00_00516 R.Riruresu       3  9 3 14 3 12 1  7 2  2  77  93 -1337648326
